,payment_id,payment_datetime,order_id,total_amount,payment_method,payment_status,billing_address,shipping_address,payment_channel,tax_amount
10,10.0,2022-12-29 01:38:47,62990,0.0,Thẻ tín dụng,Đã thanh toán,"2420/63/109, Phố Trịnh Đình C, Phường Linh Xuân, Hai Bà Trưng, Bình Dương, Việt Nam","866/196, Phố Ngô Quyền, Phường An Lợi Đông, Nam Từ Liêm, Thừa Thiên Huế, Việt Nam",POS,0.0
11,11.0,2022-05-18 06:18:16,97000,0.0,Chuyển khoản ngân hàng,Hủy bỏ,"2573/82/44q, Nguyễn Thị Minh Khai, Phường Linh Đông, Quận Gò Vấp, Bình Định, Việt Nam","2338/54/15p, Phó Đức Chính, Phường Linh Xuân, Quận Thủ Đức, Bình Dương, Việt Nam",Online,0.0
12,12.0,2022-10-11 23:26:43,13876,240000.0,Chuyển khoản ngân hàng,Đang chờ xử lý,"2778/2/96, Võ Thị Sáu, Phường Bình Trưng Đông, Mỹ Đức, An Giang, Việt Nam","2807/92/8/94, Võ Duy Ninh, Phường 8, Quận Gò Vấp, Kon Tum, Việt Nam",Online,0.0
13,13.0,2016-10-09 16:22:21,32328,899000.0,Thẻ tín dụng,Đang chờ xử lý,"2382/23/72/101A, Vĩnh Viễn, Phường An Lạc, Quận Thủ Đức, Vĩnh Long, Việt Nam","492/19/85/192, Đinh Tiên Hoàng, Phường An Lạc, Quận 6, Đà Nẵng, Việt Nam",Online,80910.0
14,14.0,2022-04-29 07:07:12,81871,280000.0,Thẻ tín dụng,Đang xử lý,"257/36/144/231/297, Trương Định, Phường Thảo Điền, Quận 4, Bình Dương, Việt Nam","2287/27/186, Đặng Tất, Phường Bình Trưng Đông, Quận 7, Bình Dương, Việt Nam",Online,19600.000000000004
15,15.0,2022-08-07 23:01:46,45294,0.0,Chuyển khoản ngân hàng,Đang xử lý,"326/89/54, Đặng Văn Ngữ, Phường Bình Trưng Đông, Sóc Sơn, Hà Nội, Việt Nam","12/48/88/85/130, Vĩnh Viễn, Phường Thủ Thiêm, Quận Phú Nhuận, Bắc Giang, Việt Nam",Thẻ thành viên,0.0
16,16.0,2020-05-04 22:11:22,77174,288830000.0,Thanh toán qua ví điện tử,Đang xử lý,"560/35/124, Đường Số 9, Phường Trường Thọ, Thanh Trì, Cần Thơ, Việt Nam","30/626, Võ Văn Kiệt, Phường An Phú Đông, Ba Đình, Ninh Bình, Việt Nam",Online,23106400.0
17,17.0,2022-12-09 22:37:37,17356,23391000.0,Chuyển khoản ngân hàng,Đang chờ xử lý,"2145/719, Cách Mạng Tháng Tám, Phường 12, Sơn Tây, An Giang, Việt Nam","2331/64/52, Điện Biên Phủ, Phường 7, Cầu Giấy, Quảng Nam, Việt Nam",Redeemed Points,4444290.0
18,18.0,2022-12-15 20:20:03,64185,780000.0,Chuyển khoản ngân hàng,Đang chờ xử lý,"1785/16/194/276, Cô Bắc, Phường Linh Chiểu, Hoài Đức, Sóc Trăng, Việt Nam","1497/935, Đường Số 4, Phường 5, Hoài Đức, Đà Nẵng, Việt Nam",Online,78000.0
19,19.0,2019-09-27 19:03:10,91722,35997000.0,Thanh toán qua ví điện tử,Đang chờ xử lý,"2033/31/193/116/258l, Võ Thị Sáu, Phường An Khánh, Quận Thủ Đức, Đà Nẵng, Việt Nam","425/14, Đinh Tiên Hoàng, Phường An Lạc, Quận 7, Hồ Chí Minh, Việt Nam",Thẻ thành viên,2519790.0000000005
20,20.0,2017-01-01 22:54:10,93279,9480000.0,Thẻ tín dụng,Đang xử lý,"1195/83/188/238, Võ Văn Kiệt, Phường 10, Hoàn Kiếm, Phú Thọ, Việt Nam","849/73/98, Hoàng Văn Thụ, Phường Cát Lái, Quận Gò Vấp, Hồ Chí Minh, Việt Nam",Thẻ thành viên,568800.0
21,21.0,2022-03-08 19:47:51,43461,0.0,Tiền mặt,Thất bại,"1780/888, Điện Biên Phủ, Phường Bình An, Hòa Bình, Hà Nội, Việt Nam","2989/17/23/184/175Z, Bà Huyện Thanh Quan, Phường 2, Hoài Đức, Bình Dương, Việt Nam",Thẻ thành viên,0.0
22,22.0,2022-12-19 19:01:21,69375,269850000.0,Tiền mặt,Hủy bỏ,"1465/52/144, Lê Thị Riêng, Phường 4, Sóc Sơn, Thái Nguyên, Việt Nam","126/94/97/21/258, Đường Số 7, Phường Trường Thọ, Hà Đông, Bình Dương, Việt Nam",POS,45874500.0
23,23.0,2021-06-02 15:33:04,91894,0.0,Thẻ tín dụng,Đang chờ xử lý,"965/37/132, Đường Số 2, Phường An Phú Đông, Hai Bà Trưng, Hồ Chí Minh, Việt Nam","1294/12/138/259/371, Bùi Hữu Nghĩa, Phường 3, Cầu Giấy, Đà Nẵng, Việt Nam",Online,0.0
24,24.0,2020-12-10 14:28:21,32039,2697000.0,Chuyển khoản ngân hàng,Đang xử lý,"1415/12/36/151, Nguyễn Cư Trinh, Phường 12, Ba Vì, Cần Thơ, Việt Nam","877/16/33/41/46, Trương Định, Phường Bình Khánh, Ba Đình, Đắk Nông, Việt Nam",Online,350610.0
25,25.0,2019-02-07 05:33:36,75076,3598000.0,Chuyển khoản ngân hàng,Đã thanh toán,"2692/612, Đường Nguyễn Văn A, Phường An Lạc, Ba Đình, Quảng Nam, Việt Nam","135/1/89/199, Đường Hoàng Diệu, Phường Tam Phú, Đan Phượng, Hải Phòng, Việt Nam",Online,647640.0
26,26.0,2020-02-20 15:43:19,34646,350000.0,Thẻ tín dụng,Đang chờ xử lý,"2180/54/194/62/159, Đinh Tiên Hoàng, Phường Bình Trưng Đông, Quận 3, Hà Nội, Việt Nam","310/734, Phan Văn Hân, Phường 1, Quận 8, Đà Nẵng, Việt Nam",Redeemed Points,0.0
27,27.0,2022-02-12 21:35:43,66577,84135000.0,Thanh toán qua ví điện tử,Đã thanh toán,"2351/63/30/178, Trần Quang Khải, Phường 5, Đông Anh, Hải Phòng, Việt Nam","924/212, Trần Hưng Đạo, Phường 8, Hoài Đức, Hồ Chí Minh, Việt Nam",POS,12620250.0
28,28.0,2020-08-09 15:49:54,31001,90000.0,Thẻ tín dụng,Đang xử lý,"2526/439, Lê Thị Riêng, Phường Bình Trưng Tây, Hà Đông, Bắc Giang, Việt Nam","536/93/5/39, Điện Biên Phủ, Phường Thủ Thiêm, Mỹ Đức, Khánh Hòa, Việt Nam",Thẻ thành viên,6300.000000000001
29,29.0,2020-02-24 00:16:30,92676,474000.0,Thanh toán qua ví điện tử,Đang xử lý,"1706/42/60, Nguyễn Văn A, Phường 10, Hai Bà Trưng, Long An, Việt Nam","2549/791, Đặng Tất, Phường An Hòa, Quận Bình Thạnh, Thái Nguyên, Việt Nam",Online,42660.0
30,30.0,2020-02-24 00:11:30,61760,420000000.0,Chuyển khoản ngân hàng,Hủy bỏ,"1819/86/57/177, Phố Trịnh Đình C, Phường 7, Quận 5, Hồ Chí Minh, Việt Nam","594/995, Huỳnh Thúc Kháng, Phường Bình Trưng Tây, Quận Thủ Đức, Bạc Liêu, Việt Nam",Online,29400000.000000004
31,31.0,2020-02-24 00:12:30,26473,0.0,Thanh toán qua cổng thanh toán trực tuyến,Chưa thanh toán,"1587/9/165, Bùi Hữu Nghĩa, Phường 11, Quận 4, Hà Nội, Việt Nam","1948/69/63, Cống Quỳnh, Phường Bình Khánh, Quận Tân Bình, Hồ Chí Minh, Việt Nam",Thẻ thành viên,0.0
32,32.0,2022-03-21 18:33:55,50679,35980000.0,Thẻ ghi nợ,Đang chờ xử lý,"1649/34/118/285/317e, Điện Biên Phủ, Phường 5, Đống Đa, Hồ Chí Minh, Việt Nam","2524/17/114/3/304, Nguyễn Đình Chiểu, Phường An Cư, Gia Lâm, Tiền Giang, Việt Nam",Online,2878400.0
33,33.0,2021-03-29 15:26:33,27090,125000.0,Tiền mặt,Chưa thanh toán,"1558/257, Nguyễn Du, Phường Bình Trưng Tây, Quận 10, Hồ Chí Minh, Việt Nam","1181/93/5/248I, Đặng Tất, Phường An Khánh, Đông Anh, Cần Thơ, Việt Nam",Thẻ thành viên,2500.0
34,34.0,2014-11-25 21:17:28,84747,0.0,Thẻ tín dụng,Hủy bỏ,"1917/256, Hoàng Văn Thụ, Phường 3, Đan Phượng, Hà Nội, Việt Nam","1408/73/103/220/246u, Lê Đức Thọ, Phường Bình Trưng Đông, Nam Từ Liêm, Hà Nội, Việt Nam",Online,0.0
35,35.0,2014-11-25 21:22:28,55472,0.0,Tiền mặt,Đang xử lý,"2673/988, Đường Lê Văn D, Phường Tam Phú, Thanh Xuân, Gia Lai, Việt Nam","2814/721, Cô Bắc, Phường 7, Quận 6, Đà Nẵng, Việt Nam",POS,0.0
36,36.0,2014-11-25 21:17:28,23687,1560000.0,Thanh toán qua cổng thanh toán trực tuyến,Đang xử lý,"132/63/18b, Đặng Văn Ngữ, Phường 7, Sơn Tây, Hồ Chí Minh, Việt Nam","1944/711, Nguyễn Đình Chiểu, Phường 12, Thanh Xuân, Kon Tum, Việt Nam",POS,218400.00000000003
37,37.0,2022-12-29 20:41:46,90232,150000.0,Thanh toán qua ví điện tử,Chưa thanh toán,"2717/7/86/46/229, Đường Số 5, Phường Thảo Điền, Gia Lâm, Đà Nẵng, Việt Nam","2187/690, Lê Thị Hồng Gấm, Phường 9, Quốc Oai, Hải Phòng, Việt Nam",POS,1500.0
38,38.0,2022-02-12 21:06:47,52957,0.0,Thanh toán qua ví điện tử,Đang xử lý,"1440/47/150/48z, Phan Văn Hân, Phường Bình Trưng Đông, Cầu Giấy, Tuyên Quang, Việt Nam","371/10/47/47, Trần Hưng Đạo, Phường An Lạc, Quận 11, Yên Bái, Việt Nam",Online,0.0
39,39.0,2022-05-22 20:48:00,44935,0.0,Chuyển khoản ngân hàng,Chưa thanh toán,"703/73/71, Hai Bà Trưng, Phường Linh Tây, Quận Thủ Đức, Thái Nguyên, Việt Nam","1694/44/42/269/194, Phan Văn Hân, Phường Bình Trưng Tây, Gia Lâm, Đà Nẵng, Việt Nam",Thẻ thành viên,0.0
40,40.0,2020-10-10 07:09:59,80035,0.0,Chuyển khoản ngân hàng,Thất bại,"339/98/46/205, Lê Đức Thọ, Phường Linh Chiểu, Gia Lâm, Hồ Chí Minh, Việt Nam","2546/15/81/41J, Nguyễn Văn A, Phường 7, Quận Thủ Đức, Hồ Chí Minh, Việt Nam",Online,0.0
41,41.0,2020-10-10 07:02:59,21099,0.0,Thẻ tín dụng,Đã thanh toán,"1440/53/116, Hòa Hảo, Phường An Khánh, Phú Thọ, Hồ Chí Minh, Việt Nam","2259/938, Bùi Hữu Nghĩa, Phường An Lạc, Quốc Oai, Hồ Chí Minh, Việt Nam",Online,0.0
42,42.0,2020-10-10 07:08:59,53546,45000.0,Chuyển khoản ngân hàng,Chưa thanh toán,"2990/43/139/148/8, Trần Quốc Thảo, Phường An Khánh, Mỹ Đức, Bà Rịa - Vũng Tàu, Việt Nam","1916/17/10/219/377, Trần Quang Khải, Phường Trường Thọ, Hà Đông, Hồ Chí Minh, Việt Nam",Online,4950.0
43,43.0,2022-12-02 16:05:31,48170,168000.0,Thẻ tín dụng,Thất bại,"2618/95/131/241/107V, Điện Biên Phủ, Phường 1, Nam Từ Liêm, Đà Nẵng, Việt Nam","2367/28/196/163, Đường Lê Văn D, Phường 6, Hoàng Mai, Hà Nội, Việt Nam",Online,21840.0
44,44.0,2022-12-07 04:38:00,23667,56504000.0,Thẻ tín dụng,Đang xử lý,"1656/91/94W, Đinh Tiên Hoàng, Phường An Hòa, Quận 8, Cần Thơ, Việt Nam","2467/46/178, Trần Hưng Đạo, Phường Bình Trưng Tây, Sóc Sơn, Hà Nội, Việt Nam",Thẻ thành viên,6215440.0
45,45.0,2020-07-11 14:57:42,54682,0.0,Tiền mặt,Đang xử lý,"1025/4/165, Mạc Đĩnh Chi, Phường Linh Trung, Thanh Oai, Bình Dương, Việt Nam","1370/22/93/254, Trương Định, Phường 9, Thanh Oai, Hồ Chí Minh, Việt Nam",Online,0.0
46,46.0,2021-01-20 09:08:07,39322,70000.0,Chuyển khoản ngân hàng,Thất bại,"175/646, Cách Mạng Tháng Tám, Phường Thảo Điền, Quận 3, Hồ Chí Minh, Việt Nam","273/67/89C, Hồ Tùng Mậu, Phường Linh Chiểu, Quận 5, Hà Nội, Việt Nam",Online,4900.000000000001
47,47.0,2022-06-20 03:29:59,24983,0.0,Thẻ tín dụng,Đang chờ xử lý,"2161/51/92/69, Điện Biên Phủ, Phường An Lạc, Hòa Bình, Đắk Nông, Việt Nam","2406/98/100y, Hoàng Sa, Phường An Lợi Đông, Hai Bà Trưng, Hà Tĩnh, Việt Nam",POS,0.0
48,48.0,2022-08-18 11:56:53,97872,403000.0,Tiền mặt,Đang xử lý,"2098/47/137/52/255, Cống Lở, Phường 11, Hoàn Kiếm, Hà Nội, Việt Nam","477/31/98j, Nguyễn Văn Trỗi, Phường An Lợi Đông, Bắc Từ Liêm, Nam Định, Việt Nam",Online,64480.0
49,49.0,2022-12-01 15:20:02,86912,50000.0,Thẻ tín dụng,Đã thanh toán,"2904/82/7/206I, Lê Lợi, Phường 10, Quốc Oai, Hồ Chí Minh, Việt Nam","331/3/133, Hai Bà Trưng, Phường 4, Phúc Thọ, Hồ Chí Minh, Việt Nam",POS,6500.0
50,50.0,2022-03-15 12:09:57,23478,0.0,Thẻ tín dụng,Thất bại,"1249/19/16/83o, Cách Mạng Tháng Tám, Phường An Khánh, Gia Lâm, Hà Nội, Việt Nam","351/10/51/40/21, Cô Bắc, Phường 3, Phú Thọ, Bình Thuận, Việt Nam",Online,0.0
51,51.0,2022-12-11 01:20:00,72522,27771000.0,Thẻ tín dụng,Đang chờ xử lý,"192/182, Nguyễn Huệ, Phường Linh Chiểu, Nam Từ Liêm, Hải Phòng, Việt Nam","2402/58/176, Hoàng Sa, Phường Linh Trung, Quận Tân Bình, Hồ Chí Minh, Việt Nam",POS,2777100.0
52,52.0,2022-07-27 19:21:35,48738,16797000.0,Thanh toán qua ví điện tử,Đang chờ xử lý,"2894/8/42, Trần Quang Khải, Phường 6, Hà Đông, Hồ Chí Minh, Việt Nam","1349/59/28/135/156K, Đường Số 8, Phường An Cư, Đống Đa, Bình Dương, Việt Nam",Online,2015640.0
53,53.0,2021-12-29 16:58:01,18413,120000.0,Thẻ ghi nợ,Thất bại,"647/14/179/24, Phố Lý Thường Kiệt, Phường 9, Đan Phượng, Khánh Hòa, Việt Nam","2756/50/153O, Cô Bắc, Phường 5, Ba Vì, Hà Nội, Việt Nam",Online,10800.0
54,54.0,2022-03-24 02:31:21,90977,2250000.0,Thanh toán qua ví điện tử,Chưa thanh toán,"419/29/171/95/381, Phan Đình Phùng, Phường 2, Tây Hồ, Bình Dương, Việt Nam","1829/642, Nguyễn Văn Giai, Phường Linh Chiểu, Hoàng Mai, Hồ Chí Minh, Việt Nam",Online,45000.0
55,55.0,2022-12-20 11:09:42,80988,0.0,Thẻ tín dụng,Đang chờ xử lý,"2101/352, Nguyễn Huệ, Phường 3, Hoàn Kiếm, Bình Dương, Việt Nam","1169/86/168/238/206, Bùi Thị Xuân, Phường 3, Thạch Thất, Cần Thơ, Việt Nam",Thẻ thành viên,0.0
56,56.0,2022-12-02 10:32:58,21719,0.0,Thanh toán qua cổng thanh toán trực tuyến,Đang xử lý,"2544/9/191Z, Trương Đăng Quế, Phường Linh Trung, Quận 6, Quảng Bình, Việt Nam","2225/595, Cô Giang, Phường Tam Bình, Thạch Thất, Bình Dương, Việt Nam",Redeemed Points,0.0
57,57.0,2022-05-30 05:34:57,61180,0.0,Thanh toán qua cổng thanh toán trực tuyến,Đã thanh toán,"2163/68/174/50/101L, Lý Tự Trọng, Phường An Lợi Đông, Hoàng Mai, Đà Nẵng, Việt Nam","2915/53/48/139/179, Lê Duẩn, Phường 9, Ba Đình, Hồ Chí Minh, Việt Nam",Thẻ thành viên,0.0
58,58.0,2022-04-11 11:26:05,85891,125930000.0,Thẻ ghi nợ,Đang chờ xử lý,"550/40/76/129/360, Nguyễn Cư Trinh, Phường An Phú Đông, Long Biên, Điện Biên, Việt Nam","704/91/71x, Trương Định, Phường 10, Hòa Bình, Cà Mau, Việt Nam",Online,2518600.0
59,59.0,2019-06-20 15:35:55,85888,845000.0,Thanh toán qua ví điện tử,Đã thanh toán,"542/990, Trương Định, Phường An Lạc, Hoàn Kiếm, Đà Nẵng, Việt Nam","2003/13/2/56/46, Võ Văn Tần, Phường Linh Chiểu, Thanh Xuân, Bình Dương, Việt Nam",Thẻ thành viên,59150.00000000001
60,60.0,2019-06-20 15:44:55,62661,495000.0,Tiền mặt,Đang xử lý,"881/27/93, Hòa Hảo, Phường Linh Xuân, Tây Hồ, Bình Dương, Việt Nam","2119/58/116/27/231, Trần Quang Khải, Phường Thủ Thiêm, Cầu Giấy, Hồ Chí Minh, Việt Nam",POS,74250.0
61,61.0,2019-06-20 15:33:55,11299,24990000.0,Thẻ tín dụng,Hủy bỏ,"1710/4/49/184R, Điện Biên Phủ, Phường An Phú Đông, Hà Đông, Hà Nội, Việt Nam","111/763, Phố Ngô Quyền, Phường Bình Trưng Tây, Hà Đông, Đắk Lắk, Việt Nam",Thẻ thành viên,4248300.0
62,62.0,2019-06-20 15:38:55,30208,89900000.0,Tiền mặt,Hủy bỏ,"296/84/181/45, Lê Văn Phan, Phường An Lợi Đông, Quận Phú Nhuận, Thái Nguyên, Việt Nam","643/68/73/178/109, Phố Ngô Quyền, Phường Bình Trưng Tây, Thanh Oai, Hà Nội, Việt Nam",Online,14384000.0
63,63.0,2022-09-03 18:42:25,97195,75000000.0,Thẻ tín dụng,Hủy bỏ,"1816/24/7/280/321p, Đặng Văn Ngữ, Phường Trường Thọ, Đan Phượng, Hải Phòng, Việt Nam","1707/51/94/140/300y, Huỳnh Thúc Kháng, Phường 4, Thạch Thất, Hải Phòng, Việt Nam",Online,9750000.0
64,64.0,2022-03-09 13:06:45,77417,0.0,Thanh toán qua ví điện tử,Đang xử lý,"502/18/160/90/170, Cô Bắc, Phường 7, Quận Gò Vấp, Bắc Giang, Việt Nam","977/60/160, Hoàng Văn Thụ, Phường 12, Hoài Đức, Hà Nội, Việt Nam",POS,0.0
65,65.0,2020-07-20 20:28:37,14162,267000.0,Thanh toán qua ví điện tử,Hủy bỏ,"855/56/46, Hai Bà Trưng, Phường An Lạc, Quận 3, Yên Bái, Việt Nam","2596/49/11/170, Nguyễn Đình Chiểu, Phường 3, Nam Từ Liêm, Bình Dương, Việt Nam",POS,26700.0
66,66.0,2022-02-04 07:43:24,66706,0.0,Chuyển khoản ngân hàng,Đã thanh toán,"81/89, Cống Quỳnh, Phường Linh Trung, Thanh Xuân, Hồ Chí Minh, Việt Nam","1417/175, Phố Lý Thường Kiệt, Phường Bình Trưng Đông, Quận Gò Vấp, Bến Tre, Việt Nam",Thẻ thành viên,0.0
67,67.0,2022-08-29 12:58:35,99401,0.0,Thanh toán qua cổng thanh toán trực tuyến,Hủy bỏ,"1521/3/21N, Đinh Tiên Hoàng, Phường Tam Phú, Thạch Thất, Tuyên Quang, Việt Nam","2875/58/192/144/343S, Bùi Thị Xuân, Phường 11, Quận 10, Hồ Chí Minh, Việt Nam",Online,0.0
68,68.0,2022-07-13 08:29:40,80524,1151000.0,Thẻ tín dụng,Đang xử lý,"2805/24/45, Phố Ngô Quyền, Phường 2, Nam Từ Liêm, Tây Ninh, Việt Nam","563/14/13/203, Phố Lý Thường Kiệt, Phường An Khánh, Quận Gò Vấp, Hồ Chí Minh, Việt Nam",Online,161140.00000000003
69,69.0,2021-11-22 10:42:33,13199,0.0,Thanh toán qua ví điện tử,Thất bại,"346/37/113/249/212, Cống Lở, Phường Bình Trưng Tây, Cầu Giấy, Cần Thơ, Việt Nam","2199/46/166/163/142I, Nguyễn Văn Giai, Phường 8, Quốc Oai, Gia Lai, Việt Nam",POS,0.0
70,70.0,2022-01-08 05:34:58,56523,150000.0,Chuyển khoản ngân hàng,Đang xử lý,"1134/98/179/116/295q, Huỳnh Thúc Kháng, Phường Linh Trung, Ba Đình, Hà Nội, Việt Nam","2529/96/86, Trường Sa, Phường 7, Nam Từ Liêm, Hà Nội, Việt Nam",Redeemed Points,19500.0
71,71.0,2022-04-08 20:29:19,46295,0.0,Thẻ tín dụng,Đang xử lý,"1725/4/138/89, Hòa Hảo, Phường 7, Quận Tân Phú, Cần Thơ, Việt Nam","945/910, Trần Quang Khải, Phường Tam Phú, Long Biên, Long An, Việt Nam",Online,0.0
72,72.0,2022-10-19 11:39:12,33275,160000.0,Chuyển khoản ngân hàng,Đang xử lý,"460/10/127/151/169, Hai Bà Trưng, Phường Bình An, Quận Tân Phú, Hà Nội, Việt Nam","1092/38/76D, Lý Văn Phức, Phường Thủ Thiêm, Thanh Trì, Bình Dương, Việt Nam",Online,11200.000000000002
73,73.0,2022-05-28 03:06:51,74890,0.0,Chuyển khoản ngân hàng,Thất bại,"2873/8/169, Phố Lê Lợi, Phường An Hòa, Long Biên, Bà Rịa - Vũng Tàu, Việt Nam","527/67/131/11, Hoàng Văn Thụ, Phường Bình Trưng Đông, Quận Gò Vấp, Hòa Bình, Việt Nam",Online,0.0
74,74.0,2022-03-23 23:32:43,95643,391860000.0,Thẻ tín dụng,Đang xử lý,"2382/86/6/114/170, Đinh Tiên Hoàng, Phường Tam Bình, Hoàng Mai, Hà Nội, Việt Nam","2268/50/33/205, Nhiêu Tứ, Phường An Lạc, Thạch Thất, Bắc Ninh, Việt Nam",Online,31348800.0
75,75.0,2019-09-29 09:20:30,94579,0.0,Thẻ ghi nợ,Đã thanh toán,"200/987, Đường Số 4, Phường Linh Trung, Hoài Đức, Bình Dương, Việt Nam","1225/83/75/75, Đường Hùng Vương, Phường 6, Quận 4, Tuyên Quang, Việt Nam",Online,0.0
76,76.0,2018-05-25 11:01:34,49264,1008000.0,Thanh toán qua ví điện tử,Đang chờ xử lý,"711/100/9/167/258d, Hồ Tùng Mậu, Phường Trường Thọ, Chương Mỹ, Đồng Tháp, Việt Nam","1171/99/34y, Điện Biên Phủ, Phường An Phú, Hai Bà Trưng, Cần Thơ, Việt Nam",POS,151200.0
77,77.0,2022-08-07 02:57:32,26153,0.0,Thẻ ghi nợ,Thất bại,"673/46/15/3, Đường Số 10, Phường 4, Bắc Từ Liêm, Vĩnh Long, Việt Nam","2950/15/159/209/196p, Hoàng Văn Thụ, Phường Bình Khánh, Mỹ Đức, Hồ Chí Minh, Việt Nam",POS,0.0
78,78.0,2022-12-31 03:24:01,42846,80000.0,Thẻ tín dụng,Thất bại,"2154/15, Hai Triều, Phường 11, Quận 8, Bà Rịa - Vũng Tàu, Việt Nam","1909/891, Nguyễn Đức Cảnh, Phường Bình Trưng Tây, Hà Đông, Quảng Ngãi, Việt Nam",Online,10400.0
79,79.0,2022-03-14 09:25:11,93489,34950000.0,Thẻ tín dụng,Đang xử lý,"2884/2/55/107, Nguyễn Công Trứ, Phường An Khánh, Đan Phượng, Hòa Bình, Việt Nam","1653/56/133, Lê Thánh Tôn, Phường 12, Quận 10, Bạc Liêu, Việt Nam",Online,3495000.0
80,80.0,2022-05-07 23:31:45,15335,111960000.0,Chuyển khoản ngân hàng,Đã thanh toán,"2493/811, Đường Bạch Đằng, Phường 1, Hòa Bình, Hồ Chí Minh, Việt Nam","1286/39/39/85/171, Trần Hưng Đạo, Phường 2, Cầu Giấy, Hà Nội, Việt Nam",Online,3358800.0
81,81.0,2020-09-14 22:07:22,20973,0.0,Thanh toán qua cổng thanh toán trực tuyến,Đã thanh toán,"2477/78/171, Phố Nguyễn Thị B, Phường Linh Tây, Quận 2, Hà Nội, Việt Nam","1927/24/164/266q, Phan Đăng Lưu, Phường An Lợi Đông, Long Biên, Cao Bằng, Việt Nam",Thẻ thành viên,0.0
82,82.0,2022-02-07 23:16:40,41587,75000.0,Thanh toán qua cổng thanh toán trực tuyến,Đang chờ xử lý,"409/13/79/214/151o, Lê Văn Phan, Phường Linh Chiểu, Ba Vì, Hải Phòng, Việt Nam","428/60/117/256/366S, Đường Số 8, Phường Linh Chiểu, Hoài Đức, Quảng Nam, Việt Nam",POS,0.0
83,83.0,2022-12-31 13:43:26,52659,165000.0,Thẻ tín dụng,Đang xử lý,"2961/55/140/79/30V, Võ Văn Tần, Phường Linh Đông, Sóc Sơn, Khánh Hòa, Việt Nam","600/68/153/10, Phan Đăng Lưu, Phường An Cư, Quận 3, Hà Nội, Việt Nam",POS,4950.0
