,customer_id,property_type,property_value,property_address,purchase_date,mortgage_status,mortgage_lender,mortgage_amount
50,2668,Đất nền,678290960.3616701,"3536 Hudson Tunnel Apt. 810
North Jennifershire, NY 62953",2020-09-06,Chưa vay,MNO Finance,1480319085.9666781
51,2328,Biệt thự,2260710737.9269886,"15783 Kimberly Hollow Suite 866
South Shelley, WI 34753",2021-12-22,Không vay,ABC Bank,221964764.8591162
52,2325,Biệt thự,1001130395.5710136,"25636 Brian Valley Apt. 233
Garciahaven, KS 33381",2022-07-21,Đang vay,PQR Mortgage,1357485414.8631637
53,2266,Căn hộ,2937210183.108345,"2964 Eric Views
West Renee, OK 81260",2021-04-06,Đã trả hết,XYZ Credit,568124272.5616753
54,2084,Đất nền,902366656.252706,"7832 Briggs Course
West Donald, MH 85904",2023-01-09,Không vay,ABC Bank,1338820015.574074
55,2659,Đất nền,4733305350.120501,"06562 Harry Stravenue Suite 942
Davisfurt, NY 51938",2019-07-26,Không vay,MNO Finance,177999283.5354706
56,2192,Đất nền,4067293124.736148,"2204 Nathaniel Haven Suite 850
Anthonyview, CO 45146",2023-04-03,Đã trả hết,XYZ Credit,735233470.7364476
57,2558,Nhà ở,1602941017.5286188,"2932 Walker Tunnel
Murphymouth, MN 78885",2019-10-09,Chưa vay,XYZ Credit,863369943.4803598
58,2275,Nhà ở,3781261692.4798794,"255 Cassie Trafficway
West Anna, AR 24423",2020-07-11,Chưa vay,ABC Bank,652560945.7968516
59,2812,Đất nền,2719674692.375621,"1545 Gomez Cape Suite 536
Lake Jill, WV 74492",2020-02-20,Đang vay,ABC Bank,1052716213.2987173
60,2815,Đất nền,846981438.1876224,"1733 Hicks Land
Williamfurt, AS 13614",2020-03-04,Đang vay,XYZ Credit,1574797067.6732776
61,2145,Đất nền,1875302944.190426,"1069 Brittany Cliff Suite 389
Robertmouth, OR 17773",2020-06-23,Đã trả hết,XYZ Credit,1798141715.6220007
62,2146,Nhà ở,4008845526.1462107,"742 Miller Groves Suite 548
Savageberg, AK 16359",2022-08-07,Đang vay,XYZ Credit,667960120.1564981
63,2551,Căn hộ,718514596.795365,"62777 Harris Drive
Mitchelltown, NJ 95860",2018-10-11,Đang vay,MNO Finance,1577775411.4746075
64,2699,Biệt thự,4137136827.6757846,"PSC 0760, Box 4475
APO AE 21654",2021-09-15,Đã trả hết,PQR Mortgage,1717456066.0296218
65,2465,Nhà ở,2280697001.2434535,"52465 Jeremy Glens
Hughesport, RI 60012",2020-05-04,Đã trả hết,XYZ Credit,590141275.6963662
66,2025,Biệt thự,4893404003.737244,"69373 Robin Courts
Karenstad, TN 81976",2021-05-03,Chưa vay,ABC Bank,1414236496.1981218
67,2594,Căn hộ,3170958493.3748884,"05695 Harper Ferry
North Darren, SC 41978",2022-02-04,Đang vay,MNO Finance,1968112426.8097825
68,2284,Biệt thự,3038323736.2270775,"Unit 9211 Box 0750
DPO AP 86117",2019-05-08,Đang vay,ABC Bank,543706341.262115
69,2008,Căn hộ,2879157829.4902096,"PSC 6417, Box 8763
APO AP 09220",2019-04-01,Không vay,XYZ Credit,552911882.8078452
70,2507,Biệt thự,4804428782.409275,"55297 Terri Drive Apt. 289
Butlermouth, CT 24691",2018-12-05,Không vay,MNO Finance,1164774125.5271792
71,2929,Đất nền,4875591959.125312,"080 Thomas Pike
East Erik, DE 20317",2022-08-18,Đang vay,ABC Bank,1851046666.7707832
72,2782,Đất nền,1217604788.4102397,"711 Joshua Camp Suite 698
Port Jennifershire, IA 52845",2020-04-02,Đang vay,MNO Finance,667564121.006863
73,2307,Đất nền,1243304212.8069096,"8005 Wanda Lakes Apt. 173
West Shannon, AK 81384",2018-09-22,Không vay,ABC Bank,1726926563.934709
74,2919,Biệt thự,1293241528.4291391,"0003 Randy Squares Apt. 006
North Jacob, GA 32886",2022-02-24,Đã trả hết,PQR Mortgage,513475508.16250783
75,2584,Nhà ở,2727616251.0168853,"300 Joshua Plaza
North Adrienne, AL 48243",2021-07-27,Không vay,MNO Finance,829555662.5619978
76,2866,Căn hộ,2949003001.932298,"470 Holland Shoals
Port Crystal, MN 15942",2020-06-28,Chưa vay,ABC Bank,1635093093.5505736
77,2644,Nhà ở,1703868100.9120028,"8922 Brown Mews Suite 560
New Donald, PA 48413",2019-04-23,Chưa vay,XYZ Credit,1941534229.1738
78,2632,Nhà ở,2502764294.5153027,"7132 Angela Glen
Leeberg, PA 96156",2023-01-30,Đang vay,PQR Mortgage,1885994500.1091948
79,2926,Biệt thự,2287579895.864382,"80002 Darrell Prairie Apt. 132
Port Loganburgh, AR 37077",2020-06-06,Đã trả hết,PQR Mortgage,340027142.18620074
80,2931,Biệt thự,4817408360.1986475,"PSC 1652, Box 2281
APO AP 84376",2023-03-04,Chưa vay,PQR Mortgage,1241290254.2554111
81,2419,Nhà ở,3472293684.85242,"303 Monica Run Suite 111
Lake Alexandertown, NE 92965",2023-03-27,Đã trả hết,XYZ Credit,819814058.5735137
82,2573,Nhà ở,4819118569.450633,"0841 Garcia Ville Suite 478
East Deannaside, FM 83338",2023-01-04,Không vay,ABC Bank,158535948.33836335
83,2997,Căn hộ,4258995578.972887,"3753 Whitney Hill
Collierfurt, WV 48550",2023-01-05,Đang vay,XYZ Credit,641085065.7670188
84,2556,Căn hộ,1729515637.4581935,"4085 Walker Highway
New Kelli, HI 34124",2021-11-01,Đã trả hết,PQR Mortgage,1603072364.8992038
85,2829,Căn hộ,2954196517.2164097,"26344 Jesse Divide
New Laura, IL 46280",2021-02-08,Không vay,PQR Mortgage,1725825629.6174228
86,2788,Căn hộ,3067450832.241658,"66945 James Mews Suite 030
New Sallyborough, WV 64831",2023-07-20,Không vay,XYZ Credit,639690146.8937625
87,2111,Nhà ở,1031321887.387995,"6279 Willie Locks Suite 700
Aaronchester, UT 49937",2018-09-28,Chưa vay,MNO Finance,1933396124.694023
88,2780,Căn hộ,838326083.5086675,"342 Nicholas Keys
North Paulland, FM 78619",2021-12-28,Đã trả hết,MNO Finance,930621447.8296168
89,2694,Đất nền,3913745901.568032,"89366 Aguirre Junctions Apt. 676
South Ashley, GU 50410",2019-05-30,Đã trả hết,ABC Bank,335411485.5855496
90,2736,Biệt thự,2075957397.9049647,"971 Susan Brooks
Williamsburgh, FL 56093",2022-12-23,Không vay,MNO Finance,1587865891.2267826
91,2700,Biệt thự,1008929166.3058625,"67361 Christopher Route Suite 729
New Roy, AL 01103",2020-04-01,Không vay,PQR Mortgage,487436695.8296915
92,2004,Đất nền,3359898307.8579516,"761 Kelly Estate Apt. 052
Davidport, IA 71448",2019-05-29,Đang vay,PQR Mortgage,1241581534.4879599
93,2530,Biệt thự,4718644580.623789,"24872 Nelson Centers Apt. 305
Ruizburgh, PA 67990",2020-03-23,Đã trả hết,XYZ Credit,953837472.7820159
94,2685,Căn hộ,2117399143.933193,"17222 Erin Plaza
West Deannashire, ID 32232",2023-02-28,Chưa vay,PQR Mortgage,1200757776.2689588
95,2994,Biệt thự,2012045907.7924778,"2057 Burch Path Apt. 636
Walkerside, MH 22404",2020-01-18,Chưa vay,PQR Mortgage,1976503597.3262775
96,2254,Đất nền,3333539114.098947,"888 Brianna Spur Suite 427
East Mackenzie, MS 64125",2019-04-29,Không vay,XYZ Credit,1304091770.7966924
97,2960,Biệt thự,4021131584.168703,"9947 Rebecca Neck
Joyceport, PA 22083",2021-03-06,Đang vay,ABC Bank,1649119137.782955
98,2620,Nhà ở,2072525397.7400765,"25465 Wright Viaduct Apt. 955
New Jennifermouth, KY 43953",2020-02-03,Đã trả hết,PQR Mortgage,1760489942.1450615
99,2558,Đất nền,1184314851.3087509,"USNV Burgess
FPO AP 24180",2021-07-01,Đã trả hết,PQR Mortgage,422281630.2440686
100,2523,Nhà ở,1718692126.097263,"1509 George Island
Crossside, ME 67938",2019-04-24,Chưa vay,PQR Mortgage,232533151.4689095
101,2069,Biệt thự,588836243.2913808,"96424 Stanley Burg
West Robin, IA 69281",2020-06-05,Đang vay,ABC Bank,863655083.6887039
102,2706,Đất nền,3222472636.9218135,"32473 Michael Drives Suite 501
Sandershaven, ID 99570",2022-07-30,Đang vay,XYZ Credit,550743699.6955278
103,2342,Đất nền,808493769.4443872,"USCGC Johnson
FPO AP 25522",2021-07-02,Đã trả hết,PQR Mortgage,1071885952.0520028
104,2755,Nhà ở,1258491235.49419,"3485 Amanda Circle
Lake Jasonport, NV 06544",2022-01-05,Đã trả hết,MNO Finance,1258366028.2619693
105,2238,Biệt thự,3024701031.287911,"PSC 7734, Box 5185
APO AE 13510",2021-07-10,Đang vay,PQR Mortgage,1600558487.274434
106,2888,Đất nền,3722235329.452407,"Unit 5008 Box 9391
DPO AP 81691",2019-07-18,Đã trả hết,XYZ Credit,1703205982.2648494
107,2032,Biệt thự,1924381194.0848033,"Unit 6063 Box 4393
DPO AE 67269",2019-10-09,Không vay,XYZ Credit,1592282716.2688506
108,2195,Nhà ở,3316489274.0209103,"4788 Mckinney Row
North Randall, DC 30787",2019-03-07,Đang vay,PQR Mortgage,1204722964.279171
109,2956,Căn hộ,3228169569.780237,"040 William Ranch
Laurafort, MI 25646",2022-10-07,Đã trả hết,PQR Mortgage,1100525413.519278
110,2142,Căn hộ,4522415945.089415,"34909 Crystal Cliffs Apt. 519
Thomasfort, AS 06345",2021-01-25,Không vay,MNO Finance,688547543.6420364
111,2411,Căn hộ,1021266290.7817336,"2721 Alexandra Coves Suite 462
Castroborough, SD 81561",2021-02-01,Đang vay,MNO Finance,229629816.1307894
112,2234,Biệt thự,1946165745.821794,"800 Jason Pass
Jillchester, MO 92788",2021-09-17,Chưa vay,XYZ Credit,185463254.93717036
113,2829,Nhà ở,4499942555.173622,"2749 Jerry Village Apt. 815
Michellehaven, OH 03992",2019-02-13,Đang vay,ABC Bank,1039474848.1918484
114,2542,Biệt thự,2040994245.4335337,"75151 Benjamin Place
Port Martinton, FL 86510",2019-09-21,Đã trả hết,ABC Bank,1265160249.2929263
115,2177,Nhà ở,1499293191.7211103,"19829 Kristen Bridge
Bentonhaven, LA 75147",2022-05-26,Đang vay,PQR Mortgage,954646434.0239697
116,2769,Căn hộ,4880472023.358403,"885 April Lodge Apt. 904
Coleshire, MH 84148",2021-09-12,Đang vay,MNO Finance,978894029.1057307
117,2594,Biệt thự,1453581579.2727177,"USCGC Russell
FPO AA 61952",2021-04-15,Đã trả hết,MNO Finance,1043032615.094448
118,2114,Căn hộ,4974770339.986948,"31044 Shari Ports Suite 015
Hernandezton, NJ 91317",2022-07-27,Chưa vay,ABC Bank,1615141152.6645129
119,2879,Biệt thự,1938084967.432425,"9671 Jones Turnpike Suite 888
South Jeremy, MI 43694",2022-09-06,Không vay,MNO Finance,1845796438.844354
120,2410,Căn hộ,4460135759.480352,"4442 Mcgrath Street Suite 081
New Felicia, WA 97652",2020-12-07,Đang vay,ABC Bank,128843999.92090744
121,2149,Nhà ở,3041348496.1368475,"576 Moore Terrace Suite 495
South Beverlyville, CT 87656",2022-04-20,Đã trả hết,XYZ Credit,251085051.74137363
122,2668,Đất nền,4577379581.071337,"795 Roberto Trafficway
Crystalfort, OK 39608",2021-11-16,Chưa vay,ABC Bank,1097317324.5577936
123,2133,Nhà ở,4700212793.284328,"1861 Kimberly Lock
Richardsonchester, AR 51963",2023-03-23,Chưa vay,PQR Mortgage,272971643.2184782
124,2029,Biệt thự,3368808556.991836,"6618 Melissa Meadow
New Joseph, MH 94935",2019-08-17,Đã trả hết,XYZ Credit,1359730758.1475174
125,2400,Đất nền,3339783606.7220507,"88060 Brian Fork Apt. 402
Johnborough, MO 93633",2021-03-23,Đã trả hết,XYZ Credit,566309130.2987171
126,2603,Căn hộ,2073266341.7468398,"2050 Ashley Lock
North Sheena, HI 63200",2021-07-27,Chưa vay,MNO Finance,1139159064.6209943
127,2552,Căn hộ,3702417716.089439,"361 Patterson Harbor Apt. 920
South Jessica, CO 61468",2020-04-21,Không vay,ABC Bank,1455738253.9472022
128,2762,Nhà ở,1632113123.6784391,"71174 Moody Branch
Lake Jennifer, KS 00958",2022-06-06,Chưa vay,XYZ Credit,211547316.94929338
129,2209,Biệt thự,4334739310.3098545,"06167 Alicia Prairie Apt. 024
New Raymondchester, MT 24194",2019-02-24,Chưa vay,ABC Bank,1833473757.9882593
130,2526,Biệt thự,2755075120.6736217,"4753 Michelle Throughway Suite 497
Ambermouth, CA 10302",2022-06-28,Chưa vay,MNO Finance,176224077.05031604
131,2545,Nhà ở,2495073992.678182,"724 Moreno Knoll Suite 818
Vanessaland, MI 29247",2020-10-15,Đang vay,PQR Mortgage,1550464149.8962793
132,2921,Biệt thự,610788701.5850453,"224 Thompson Square Suite 186
Cassandrashire, GA 97064",2022-08-18,Đã trả hết,ABC Bank,575016106.8197157
133,2334,Nhà ở,1858278257.0561013,"715 Smith Pine
South Justinview, AK 92251",2019-08-10,Không vay,ABC Bank,1491951731.56197
134,2321,Căn hộ,1671350140.6876369,"3661 Denise Spur
Chungport, IL 15277",2019-08-30,Không vay,ABC Bank,1726133617.667887
135,2312,Nhà ở,2411736624.5853806,"4159 Johnathan Highway Apt. 245
South Mark, OK 86219",2019-05-31,Đang vay,XYZ Credit,727203616.9005209
136,2347,Biệt thự,4803332720.181001,"95761 Guzman Inlet
Mcbridefort, AL 38990",2023-06-01,Không vay,ABC Bank,346474624.72239405
137,2835,Biệt thự,2856858703.837823,"Unit 0437 Box 5565
DPO AA 99010",2018-08-20,Chưa vay,MNO Finance,1512039297.061865
138,2205,Đất nền,2251573397.5533357,"8079 Berg Spur
North Alyssa, HI 23414",2019-12-28,Đã trả hết,ABC Bank,878055517.0492874
139,2130,Nhà ở,696085783.4833308,"USNV Lewis
FPO AP 46269",2023-01-03,Đã trả hết,PQR Mortgage,666809864.3848201
140,2362,Đất nền,1963799132.9231436,"2378 Morgan Fork
South Jonathanberg, NC 95816",2020-07-28,Chưa vay,ABC Bank,382637348.0447415
141,2937,Đất nền,4031180046.3053584,"USS Farmer
FPO AA 35890",2022-06-29,Chưa vay,PQR Mortgage,1960882005.3284118
142,2492,Biệt thự,4607981317.779007,"Unit 8082 Box 3496
DPO AP 70883",2018-09-11,Không vay,ABC Bank,1852349714.93511
143,2821,Nhà ở,1105615472.1920757,"7720 Brad Freeway Suite 513
Port Brandiview, AR 70314",2021-03-06,Không vay,MNO Finance,1589502244.9358802
144,2720,Đất nền,2127099938.3756459,"8635 Garcia Gardens Apt. 483
Swansonfort, MP 18496",2020-08-01,Đã trả hết,PQR Mortgage,684037716.557726
145,2613,Đất nền,2894577788.4419217,"7145 Garcia Crest
New William, AS 55528",2022-08-08,Đang vay,ABC Bank,381874488.8546947
146,2704,Căn hộ,3032489889.1175833,"168 Krystal Creek
East Jeanchester, MS 54539",2019-09-30,Chưa vay,XYZ Credit,1556017245.2115023
147,2962,Nhà ở,4152776274.4315023,"37607 Brittany Roads Apt. 591
East Erikaburgh, NE 78516",2021-02-01,Đã trả hết,ABC Bank,488255013.5048134
148,2069,Nhà ở,4348176709.023501,"51874 Peters Crossing Suite 525
Floydburgh, MT 01108",2019-09-13,Đang vay,XYZ Credit,1071804856.0431951
149,2443,Nhà ở,3156616159.9492397,"28610 Horton Shoals Apt. 721
Rojasmouth, UT 84323",2018-07-25,Không vay,MNO Finance,517876229.3862911
150,2206,Biệt thự,4394719936.287918,"7864 Brett Island
South Joseph, SC 50120",2020-06-18,Đang vay,PQR Mortgage,959167982.5159955
151,2376,Căn hộ,4091723342.75925,"163 Phillip Knolls Apt. 972
Bairdstad, PA 16689",2021-02-16,Chưa vay,MNO Finance,873889727.7607834
152,2009,Biệt thự,2814277089.702513,"33821 Collins Ridge
Lake Debra, OH 72019",2018-08-04,Không vay,ABC Bank,867111833.9158946
153,2904,Biệt thự,680535879.6061441,"765 George Greens Apt. 391
East Tim, AL 50427",2022-04-21,Không vay,ABC Bank,460545003.600357
154,2307,Nhà ở,2933476008.7743464,"31516 Ward Road Apt. 995
North Brian, NM 20405",2020-03-06,Đã trả hết,MNO Finance,1944504278.7155557
155,2557,Đất nền,2865322462.107725,"551 Jarvis Roads
East Judyhaven, OR 06361",2020-04-30,Không vay,MNO Finance,959792303.8425276
156,2135,Biệt thự,3138204463.805785,"950 Gonzalez Light Apt. 184
North Lisa, SC 03225",2022-04-17,Đang vay,MNO Finance,1309662384.6758235
157,2435,Nhà ở,2157634186.699288,"464 Bradley Freeway Suite 567
North Michelle, FM 29099",2021-10-11,Không vay,MNO Finance,1879393875.241912
158,2917,Nhà ở,4544365513.377977,"3954 Anderson Village
New Charlene, PA 51886",2020-05-29,Chưa vay,ABC Bank,828490766.2187731
159,2476,Đất nền,4081583764.5301914,"020 Brennan Rest
East Kimberly, KY 76580",2020-03-29,Đã trả hết,PQR Mortgage,1560406938.4889934
160,2398,Biệt thự,4115885239.2754893,"293 Hernandez Groves
North Tanya, RI 59568",2019-12-21,Không vay,MNO Finance,374920970.86362094
161,2152,Nhà ở,4977520914.929605,"297 Ralph Shoal Suite 408
Port Christine, TN 49978",2020-08-15,Đã trả hết,MNO Finance,1729979653.2208138
162,2604,Đất nền,4773332718.683557,"941 Butler Motorway
Port Amanda, AL 69646",2022-04-01,Không vay,MNO Finance,1884203451.694532
163,2295,Biệt thự,3610942432.5193305,"12920 Ashley Mission Suite 568
South Ashleyview, MO 53130",2020-06-13,Không vay,MNO Finance,1576295615.259887
164,2498,Căn hộ,3719592803.9647226,"052 Hodge Isle
Wilkinsontown, AL 13064",2018-08-18,Không vay,PQR Mortgage,1460741886.5541587
165,2094,Nhà ở,1082615568.6946826,"USNS Hernandez
FPO AE 46653",2022-02-28,Đang vay,XYZ Credit,1487314387.0358055
166,2106,Đất nền,1200707708.7390552,"1129 Bruce Ramp Suite 789
New Todd, OR 19818",2019-07-07,Chưa vay,PQR Mortgage,1334354630.668913
167,2192,Nhà ở,901229079.2508953,"550 Garcia Falls
Charleston, KS 42795",2022-01-13,Chưa vay,XYZ Credit,1115523737.6806922
168,2356,Nhà ở,4757474280.388312,"0821 Jack Branch
Markhaven, NC 73202",2018-10-18,Chưa vay,PQR Mortgage,1686327872.9925132
169,2759,Nhà ở,4978065574.124487,"094 Todd Mews
Bradleystad, OK 76547",2022-09-06,Đã trả hết,XYZ Credit,1011454584.6710281
170,2813,Nhà ở,4038906380.26587,"6778 Wesley Unions
Pearsonland, AS 39087",2022-11-22,Chưa vay,PQR Mortgage,335197802.4135014
171,2459,Đất nền,3568817140.796652,"103 Heidi Stravenue Suite 943
North Amy, NV 94666",2019-12-24,Không vay,PQR Mortgage,320698370.4239979
172,2875,Biệt thự,976233524.6138337,"70372 Meredith Pines Suite 173
Timothyville, WA 49147",2019-06-10,Không vay,XYZ Credit,417534509.2222913
173,2264,Biệt thự,3844296749.6496644,"79437 Ashlee Center
East Kelly, AR 14922",2022-07-22,Đã trả hết,PQR Mortgage,1303958407.7932668
174,2830,Căn hộ,4049202493.7158847,"01762 Cameron Lock Suite 203
Jasonborough, NJ 70962",2021-02-10,Đã trả hết,PQR Mortgage,295432902.9937655
175,2776,Đất nền,4666157811.755089,"077 Erin Fort Suite 893
Bergview, OH 64316",2022-09-21,Đã trả hết,ABC Bank,1127018354.7463903
176,2451,Đất nền,3919348478.830357,"23365 Charles Port
Port Billymouth, MN 54062",2022-04-14,Chưa vay,XYZ Credit,1065226195.1690379
177,2277,Căn hộ,2352393732.7229657,"754 Vega Prairie
Velazquezshire, WV 59239",2023-06-30,Đang vay,MNO Finance,471090117.6531905
178,2575,Nhà ở,2897509789.131629,"0805 Fletcher Mount Apt. 813
West Kenneth, SC 49336",2020-01-22,Đang vay,PQR Mortgage,613308202.7107732
179,2492,Đất nền,1701757630.042501,"4546 Rodgers Court
Larryburgh, TN 98518",2021-10-13,Đang vay,PQR Mortgage,798600357.3098236
180,2482,Căn hộ,2022777369.5641348,"Unit 4402 Box 9029
DPO AE 32034",2021-05-05,Đang vay,PQR Mortgage,1116050114.362807
