,customer_id,label_datetime,fraud_label,age,gender,city,occupation,education,marital_status,membership_level,customer_points,total_redeemed_points,discount_rate,has_fraud_txn,has_used_jailbreak,is_emulator,is_blacklist,aov_last_30days,membership_lifespan,num_day_since_last_active,num_active_last_7d,num_active_last_14d,num_active_last_30d,signup_in_latenight,most_active_hour,num_apply_lending,num_reject_lending_by_3pt,total_amount_spent,total_amount_spent_last_30d,total_amount_spent_last_60d,total_amount_spent_last_90d,total_amount_spent_last_180d,total_amount_spent_last_365d,total_tax_amount_spent,total_fee_amount_spent,num_completed_txn,num_canceled_txn,num_reject_txn,pct_reject2total_txn,top_rejected_reason,num_refunded_txn,top_refunded_reason,top_payment_method,top_payment_channel,is_ordering_shipping_address_same,prob_abuse_promotion,num_used_promotion,prob_abnormal_activity,num_select_promotion,num_interest_products,income_spending_ratio,income_stability,total_tax_amount,income_source,annually_income_segment,monthly_income,total_property_value,top_property_type,in_debt,monthly_bill_amount,total_annual_bill_amount,num_bill_overdue
10,3810,2022-01-28,Good,27.0,Nam,Quảng Ninh,Lập trình viên,Đại học,Độc thân,Loyalty,237.0,150,0.04,True,,False,Không,93449.04444178096,479.0,103,209,38,984,True,21,,14,9917561000,4783000,181391000.0,789881000.0,866747000,518377000,97200100,3332050,216,16,65,0.6256665092615932,Sản phẩm không như hình ảnh minh họa,7,Sản phẩm bị hỏng trong quá trình vận chuyển,Thanh toán bằng QR Code,Cổng thanh toán của bên thứ ba,True,0.0345046260706365,97,0.94,658.0,28,0.6682969338968898,Thất thường,2097000,,Dưới 300 triệu,59000000.0,1000000000,Đất đai,Không,,501888000,17
11,4789,2021-05-22,Good,30.0,Nam,Bắc Ninh,Lập trình viên,Sinh viên,Độc thân,Loyalty,348.0,177,0.05,True,,True,Không,99507.27054037555,724.0,7,59,456,725,True,22,5.0,11,4120372000,712700000,841159000.0,79696000.0,754083000,179515000,82579100,5914310,100,80,42,0.5209043291548244,Sản phẩm không như hình ảnh minh họa,3,Vấn đề khác,Thanh toán qua cổng thanh toán trực tuyến,Giao diện thanh toán trực tuyến trên website,True,0.5001440620251223,88,0.96,646.0,24,0.8789830396040409,Rất ổn định,2308000,,Trên 3 tỷ,3000000.0,800000000,Nhà ở chính,,25100000.0,528312000,15
12,8124,2021-08-30,Bad,29.0,Nam,Hậu Giang,Kỹ sư,Đi làm,Đã kết hôn,Loyalty,372.0,69,0.03,True,,True,Không,32661.421898824927,409.0,94,284,563,374,False,2,9.0,19,6129907000,655907000,218686000.0,707713000.0,117013000,360398000,29373200,3690130,249,85,38,0.2984834024761327,Khách hàng không hài lòng với trải nghiệm mua hàng,12,Sản phẩm bị hỏng trong quá trình vận chuyển,Thanh toán bằng QR Code,Giao diện thanh toán trực tuyến trên website,True,,87,0.72,,22,0.8430499877529517,Rất ổn định,6603000,Kinh doanh online,Từ 300 triệu tới 1 tỷ,9000000.0,1500000000,Đất đai,Có,,337008000,17
13,14037,2022-05-21,Good,28.0,Nữ,Hà Nội,Công nhân,Sinh viên,Đã kết hôn,Loyalty,,22,0.04,True,True,False,Không,58653.62692124876,,255,300,399,489,True,11,13.0,13,7750311000,730340000,,,274276000,201121000,11740200,1984200,279,15,68,0.1141456214799705,Dịch vụ không chuyên nghiệp,11,Vấn đề khác,Thanh toán bằng QR Code,Giao diện thanh toán trực tuyến trên website,False,0.3032408698588634,36,0.62,206.0,28,0.8267995046733165,Tạm ổn,1557000,Làm thuê,Trên 3 tỷ,85000000.0,900000000,Nhà ở chính,Có,28800000.0,544380000,11
14,5289,2022-11-20,Good,29.0,Nam,Hồ Chí Minh,Lập trình viên,Thạc sĩ,Có gia đình,VIP,,725,0.07,False,True,True,Không,48020.575346590966,804.0,137,83,419,678,False,22,1.0,8,3895373000,946311000,630068000.0,758900000.0,438226000,717203000,5564000,825330,35,52,7,0.9857711202266952,Khách hàng không hài lòng với trải nghiệm mua hàng,13,Vấn đề khác,Thanh toán bằng QR Code,Cửa hàng trực tiếp,False,0.1876501307103149,86,0.78,851.0,50,0.0916519285529787,Rất ổn định,430000,Kinh doanh online,Trên 3 tỷ,450000000.0,500000000,Nhà ở chính,Không,37800000.0,238632000,15
15,4968,2021-04-20,Good,28.0,Nữ,Long An,Kiến trúc sư,Đại học,Có gia đình,VIP,673.0,423,0.1,False,,False,Không,63443.73174260842,,118,273,202,54,False,2,,8,5182964000,326999000,994902000.0,767950000.0,62626000,52564000,28200300,9190280,169,53,18,0.0007684755367448,Vấn đề khác,5,Khách hàng không nhận được hàng,Thẻ tín dụng,Giao diện thanh toán trực tuyến trên website,True,0.8911324229159593,62,0.2,,0,0.9742251696549528,Thất thường,9109000,,Từ 300 triệu tới 1 tỷ,953000000.0,1000000000,Đất đai,Có,25200000.0,321192000,9
16,12290,2022-08-07,Good,34.0,Nữ,Đà Nẵng,Công nhân,Đi làm,Có gia đình,VIP,626.0,557,0.1,True,False,False,Không,12172.147607549468,891.0,286,281,306,951,False,3,,16,6033047000,876912000,754902000.0,498440000.0,639388000,10978000,58644400,7022300,22,66,12,0.0012354682028272,Dịch vụ không chuyên nghiệp,10,Sản phẩm gửi sai,Tiền mặt khi nhận hàng (COD),Điểm thanh toán tự động,True,0.0569291402931796,71,0.52,340.0,36,0.7440247289883506,Rất ổn định,6476000,Kinh doanh truyền thống,Trên 3 tỷ,978000000.0,1800000000,Căn hộ/Chung cư,Có,5400000.0,84048000,21
17,74,2021-06-15,Good,27.0,Nam,Đắk Lắk,Biên tập viên,Trung học phổ thông,Có 1 bé,VIP,,721,0.1,False,True,True,Không,56756.96233713965,,76,137,371,593,False,4,8.0,14,3175479000,563198000,693940000.0,23037000.0,110512000,229217000,28907200,1769310,165,31,13,0.0328271061814752,Sản phẩm không như hình ảnh minh họa,5,Sản phẩm nhận không đủ số lượng,Thanh toán qua cổng thanh toán trực tuyến,Giao diện thanh toán trực tuyến trên website,False,0.8639519226092048,73,0.94,298.0,23,0.4056996090618293,Rất ổn định,3343000,Kinh doanh truyền thống,Từ 300 triệu tới 1 tỷ,949000000.0,1300000000,Nhà ở chính,Không,,48228000,4
18,1808,2022-12-21,Bad,,Nữ,Hồ Chí Minh,Bác sĩ,Đi làm,Độc thân,VIP,,80,0.05,False,True,True,Không,49408.04634177152,433.0,102,71,193,484,False,16,5.0,11,3334067000,417232000,391462000.0,281770000.0,658876000,439048000,17130200,7871420,38,35,34,0.287370413361424,Dịch vụ không chuyên nghiệp,11,"Khách hàng đổi ý, không muốn mua nữa",Thanh toán bằng QR Code,Giao diện thanh toán trực tuyến trên website,False,0.4296025341127952,73,0.44,,43,0.9882296654265502,Thất thường,8883000,Làm thuê,Trên 1 tỷ,1000000.0,1800000000,Căn hộ/Chung cư,Có,48800000.0,80148000,21
19,10959,2022-07-23,Good,31.0,,Bình Dương,Xây dựng,Trung học phổ thông,Độc thân,VIP,665.0,430,0.1,False,True,True,Không,19402.59557682124,,349,283,522,132,True,18,,3,9548582000,65568000,128267000.0,783160000.0,127275000,730980000,74580300,3103850,281,89,29,0.8431303850191905,Sản phẩm không đáp ứng yêu cầu của khách hàng,10,"Khách hàng đổi ý, không muốn mua nữa",Thẻ tín dụng,Cổng thanh toán của bên thứ ba,True,0.8118830547952129,92,0.55,,15,0.7586740797031067,Ổn định,6974000,Kinh doanh truyền thống,Từ 300 triệu tới 1 tỷ,534000000.0,1200000000,Bất động sản thương mại,Có,42600000.0,192588000,5
20,5538,2022-05-04,Good,28.0,Nữ,Đà Nẵng,Giám đốc,Sinh viên,Độc thân,VIP,760.0,359,0.07,True,False,False,Không,43128.83836371975,746.0,283,177,531,116,True,1,4.0,1,7309586000,455029000,340813000.0,18170000.0,592486000,308186000,94750000,4689460,154,56,12,0.3568567637945187,Dịch vụ không chuyên nghiệp,5,"Khách hàng đổi ý, không muốn mua nữa",Tiền mặt khi nhận hàng (COD),Giao diện thanh toán trực tuyến trên website,True,0.8698996956727129,17,0.9,3.0,29,0.3377504499678941,Tạm ổn,1354000,Kinh doanh truyền thống,Trên 3 tỷ,767000000.0,900000000,Bất động sản thương mại,,43600000.0,302124000,5
21,9443,2021-08-16,Good,20.0,Nam,Bình Phước,Giám đốc,Đi làm,Ly hôn,VIP,848.0,114,0.1,False,True,True,Không,96047.26720442352,651.0,80,120,328,921,True,3,,11,8886957000,955854000,,889901000.0,479204000,99518000,62114100,4365810,41,81,1,0.0835473087478952,Sản phẩm không hoạt động đúng cách,13,Sản phẩm đã hết hạn sử dụng,Thẻ tín dụng,Ứng dụng điện thoại di động,True,0.3858646838570622,3,0.09,664.0,47,0.0807556397978813,Tạm ổn,3462000,,Trên 1 tỷ,795000000.0,1400000000,Căn hộ/Chung cư,Không,,257364000,17
22,5452,2021-06-08,Good,34.0,Nam,Hà Nội,Diễn viên,Thạc sĩ,Độc thân,VIP,838.0,578,0.1,False,True,False,Không,42437.630720889385,,258,92,353,925,False,21,9.0,1,4359938000,714518000,869563000.0,731794000.0,609492000,312022000,55866000,5920620,29,60,4,0.6003709533976824,Khách hàng không hài lòng với trải nghiệm mua hàng,12,Sản phẩm gửi sai,Chuyển khoản ngân hàng,Giao diện thanh toán trực tuyến trên website,False,0.8120822014123387,34,0.18,399.0,16,0.9105630412153356,Thất thường,6843000,Kinh doanh online,Dưới 300 triệu,469000000.0,1900000000,Căn hộ/Chung cư,Có,40600000.0,171012000,2
23,7828,2021-10-26,Good,70.0,Nữ,Thừa Thiên Huế,Nhân viên,Thạc sĩ,Độc thân,VIP,725.0,507,0.1,False,False,True,Không,75799.4084235844,280.0,203,7,567,283,True,23,12.0,2,1371270000,101810000,966497000.0,990109000.0,552488000,837542000,34568000,6096330,219,80,4,0.6595019526853444,Sản phẩm giao muộn so với hẹn giao,13,Sản phẩm không đúng mô tả,Thanh toán qua cổng thanh toán trực tuyến,Ứng dụng điện thoại di động,False,0.7713191166128405,81,0.62,,14,0.2198933434747205,Ổn định,9958000,,Trên 3 tỷ,583000000.0,1400000000,Căn hộ/Chung cư,Có,,456120000,9
24,10429,2021-10-22,Good,71.0,Nữ,Hồ Chí Minh,Lập trình viên,Thạc sĩ,Độc thân,VIP,798.0,379,0.07,False,True,True,Không,51951.92009238438,812.0,363,291,539,205,True,23,11.0,5,8797054000,200788000,534687000.0,568923000.0,160870000,192999000,7050500,8154460,244,30,9,0.3524637278432545,Vấn đề khác,8,Sản phẩm gửi sai,Thanh toán bằng QR Code,Điểm thanh toán tự động,False,0.3135311839395037,32,0.1,,8,0.0813742176144162,Thất thường,9760000,Đầu tư,Trên 1 tỷ,945000000.0,1400000000,Bất động sản thương mại,Có,49800000.0,116460000,11
25,2511,2021-05-11,Good,43.0,Nữ,Hồ Chí Minh,Lập trình viên,Không có,Có gia đình,VIP,980.0,243,0.05,False,,True,Không,18774.06862121186,702.0,309,12,78,202,False,23,8.0,9,2571137000,269070000,69500000.0,,176428000,197935000,60500800,8470770,124,39,5,0.2610862495902936,Sản phẩm không hoạt động đúng cách,8,Sản phẩm bị hỏng trong quá trình vận chuyển,Thẻ tín dụng,Giao diện thanh toán trực tuyến trên website,False,0.6417300469973055,26,0.53,408.0,39,0.861589884457874,Ổn định,2138000,Cho thuê,Trên 3 tỷ,922000000.0,1900000000,Nhà ở chính,Có,13200000.0,592920000,1
26,512,2022-08-18,Good,,Nam,Hồ Chí Minh,Kiến trúc sư,Trung học phổ thông,Đã kết hôn,VIP,630.0,279,0.07,True,False,False,Không,,823.0,361,191,412,30,False,3,6.0,7,1590445000,383392000,12402000.0,376395000.0,59495000,160708000,49944700,7368200,35,71,15,0.8727680900033584,Sản phẩm không hoạt động đúng cách,9,Sản phẩm bị hỏng trong quá trình vận chuyển,Thanh toán qua cổng thanh toán trực tuyến,Điểm thanh toán tự động,False,0.0608607619164842,66,0.04,,47,0.7719645708944339,Rất ổn định,2295000,Kinh doanh truyền thống,Dưới 300 triệu,961000000.0,1800000000,Nhà ở chính,Không,,493752000,16
27,14516,2021-11-15,Good,22.0,Nam,Hưng Yên,Diễn viên,Đi làm,Đã kết hôn,VIP,,302,0.1,True,False,True,Không,26200.66294994623,398.0,173,114,70,313,False,0,5.0,6,9840946000,293214000,902024000.0,17993000.0,947595000,347060000,13384500,6312510,265,30,3,0.6339861050885314,Vấn đề khác,10,Sản phẩm nhận không đủ số lượng,Tiền mặt khi nhận hàng (COD),Cửa hàng trực tiếp,False,0.036938076955997,25,0.91,,14,0.1148718508948685,Thất thường,7838000,Đầu tư,Trên 1 tỷ,,800000000,Bất động sản thương mại,Có,35900000.0,398856000,8
28,11297,2022-08-29,Good,,Nữ,Hà Nội,Lập trình viên,Đi làm,Độc thân,VIP,634.0,335,0.1,False,True,True,Không,41849.49090144313,763.0,243,289,180,198,True,23,,13,1804570000,70223000,10440000.0,490228000.0,221916000,202947000,42765200,5007820,206,29,2,0.695785090303434,Sản phẩm không như hình ảnh minh họa,9,Sản phẩm đã hết hạn sử dụng,Chuyển khoản ngân hàng,Ứng dụng điện thoại di động,True,0.8633723364444466,73,0.65,642.0,22,0.907397323851994,Tạm ổn,1278000,Freelancer,Từ 300 triệu tới 1 tỷ,866000000.0,1400000000,Nhà ở chính,Có,,430992000,10
29,9740,2021-06-08,Good,75.0,Nam,Bình Dương,Đầu bếp,Thạc sĩ,Độc thân,VIP,870.0,385,0.1,False,True,False,Không,67831.55123926667,534.0,233,293,245,34,True,1,,3,1896320000,195552000,,307931000.0,326225000,887117000,60113800,4193170,215,60,2,0.2376092557201614,Sản phẩm không hoạt động đúng cách,1,Sản phẩm không đúng mô tả,Tiền mặt khi nhận hàng (COD),Giao diện thanh toán trực tuyến trên website,True,0.4959837380301066,23,0.12,271.0,12,0.478269758848552,Ổn định,7192000,,Dưới 300 triệu,987000000.0,1800000000,Đất đai,Không,46800000.0,536904000,20
30,908,2021-08-25,Good,21.0,Nam,Long An,Nhân viên,Đại học,Có gia đình,VIP,,723,0.05,False,True,False,Không,,,353,109,594,335,False,0,8.0,6,958268000,443564000,147822000.0,734214000.0,8297000,491463000,58052800,1169800,195,38,1,0.0822894595353689,Vấn đề khác,3,"Khách hàng đổi ý, không muốn mua nữa",Thanh toán bằng QR Code,Cổng thanh toán của bên thứ ba,False,0.931359270239502,63,0.84,367.0,9,0.0641922468634286,Rất ổn định,6697000,,Từ 300 triệu tới 1 tỷ,901000000.0,1000000000,Bất động sản thương mại,Có,,215556000,7
31,5054,2021-05-09,Good,,Nữ,Hà Nội,Biên tập viên,Đi làm,Đã kết hôn,VIP,996.0,530,0.1,False,False,False,Không,74425.96418290526,132.0,361,90,86,166,False,22,2.0,1,7208837000,239191000,362008000.0,833198000.0,357860000,656983000,59170100,9101550,27,15,2,0.5036310838059265,Sản phẩm giao muộn so với hẹn giao,13,Vấn đề khác,Tiền mặt khi nhận hàng (COD),Điểm thanh toán tự động,True,,71,0.95,822.0,41,0.967044374097451,Thất thường,1352000,Kinh doanh online,Trên 1 tỷ,942000000.0,800000000,Bất động sản thương mại,Không,39300000.0,295188000,22
32,1505,2022-09-29,Good,29.0,Nữ,Hải Phòng,Kỹ sư,Không có,Có 2 bé,VIP,,512,0.07,True,False,True,Không,72032.72539863357,103.0,207,22,248,994,True,3,5.0,7,9642784000,699951000,48666000.0,435277000.0,712551000,320073000,91783600,6766750,176,16,1,0.352635171084165,Dịch vụ không chuyên nghiệp,12,Sản phẩm nhận không đủ số lượng,Thanh toán bằng QR Code,Cổng thanh toán của bên thứ ba,True,0.1706243086323033,8,0.94,174.0,47,0.5491065860853714,Tạm ổn,3747000,,Trên 1 tỷ,920000000.0,1200000000,Nhà ở chính,Không,5700000.0,404160000,10
33,4797,2021-06-09,Good,66.0,Nam,Cần Thơ,Người mẫu,Sinh viên,Độc thân,VIP,,7,0.07,True,True,False,Không,30657.45757527102,,26,35,171,190,False,3,,11,884728000,539593000,290282000.0,709422000.0,615226000,766218000,61520400,3925940,77,76,55,0.4934382274325853,Vấn đề khác,2,Khách hàng không nhận được hàng,Tiền mặt khi nhận hàng (COD),Ứng dụng điện thoại di động,True,0.0199417076112203,49,0.47,841.0,43,0.1079286039593989,Thất thường,1678000,,Trên 3 tỷ,794000000.0,800000000,Bất động sản thương mại,Có,,507792000,20
34,7674,2022-12-10,Good,19.0,Nam,Hồ Chí Minh,Nhân viên,Trung học phổ thông,Đã kết hôn,VIP,,711,0.1,False,,True,Không,6767.390686783737,347.0,163,174,436,791,True,2,19.0,6,621975000,331679000,535525000.0,207432000.0,12643000,343196000,50430400,8609990,38,42,5,0.6348850860017508,Sản phẩm không như hình ảnh minh họa,9,Vấn đề khác,Chuyển khoản ngân hàng,Cổng thanh toán của bên thứ ba,False,0.979620515398563,51,0.11,908.0,45,0.8110262099685306,Tạm ổn,4883000,Kinh doanh online,Trên 3 tỷ,817000000.0,700000000,Căn hộ/Chung cư,Có,15000000.0,259116000,5
35,4592,2022-06-07,Good,18.0,Nam,Cần Thơ,Lập trình viên,Đi làm,Độc thân,VIP,959.0,548,0.1,False,True,True,Không,64918.60312698472,308.0,135,243,310,671,False,22,11.0,11,9991434000,636444000,762846000.0,,972955000,738066000,93858700,6976620,20,41,10,0.216389589020878,Vấn đề khác,13,Sản phẩm đã hết hạn sử dụng,Thanh toán bằng QR Code,Cổng thanh toán của bên thứ ba,False,0.7552192854699498,2,0.29,816.0,0,0.5596386733542232,Ổn định,5144000,,Trên 3 tỷ,,1400000000,Căn hộ/Chung cư,Không,,169008000,23
36,13115,2022-04-24,Good,28.0,Nữ,Bình Phước,Kiến trúc sư,Trung học phổ thông,Có gia đình,VIP,883.0,828,0.1,False,True,True,Không,73943.61033515721,877.0,323,173,544,544,False,18,,6,6743653000,246677000,447809000.0,,210037000,360753000,29849900,3858700,205,53,7,0.9501567473585378,Sản phẩm không hoạt động đúng cách,4,Sản phẩm không đúng mô tả,Thanh toán bằng QR Code,Ứng dụng điện thoại di động,False,0.7183723551098599,4,0.54,114.0,4,0.9928637766437683,Rất ổn định,6412000,Cho thuê,Từ 300 triệu tới 1 tỷ,963000000.0,1500000000,Căn hộ/Chung cư,Không,,84156000,8
37,5084,2021-07-26,Good,18.0,Nam,Bình Phước,Kỹ sư,Thạc sĩ,Độc thân,VIP,689.0,184,0.07,True,False,True,Không,68572.24845593264,,317,207,574,157,True,4,16.0,11,2281191000,649823000,2815000.0,85085000.0,407592000,309372000,22356000,1725800,26,54,1,0.7371140224013497,Sản phẩm không đáp ứng yêu cầu của khách hàng,7,Sản phẩm gửi sai,Thẻ tín dụng,Cổng thanh toán của bên thứ ba,True,0.1743448464721797,63,0.53,241.0,10,0.2791365986951292,Thất thường,9947000,,Trên 3 tỷ,838000000.0,700000000,Căn hộ/Chung cư,Có,19200000.0,571800000,19
38,6314,2022-08-27,Good,25.0,Nam,Hồ Chí Minh,Nhân viên,Đi làm,Độc thân,VIP,,711,0.1,False,False,False,Không,84830.42222920526,731.0,320,162,471,70,True,4,18.0,19,2611569000,971025000,368051000.0,,332032000,512373000,15080300,6535880,8,10,19,0.2637494414815552,Dịch vụ không chuyên nghiệp,7,Sản phẩm đã hết hạn sử dụng,Thanh toán qua cổng thanh toán trực tuyến,Cổng thanh toán của bên thứ ba,False,0.8933741191455308,59,,,8,0.7714308806569515,Tạm ổn,4613000,Đầu tư,Trên 3 tỷ,952000000.0,1200000000,Nhà ở chính,Không,30400000.0,264864000,2
39,1610,2022-10-09,Good,,Nữ,Đà Nẵng,Kỹ sư,Sinh viên,Độc thân,VIP,672.0,64,0.1,False,True,True,Không,78198.49347289104,,215,10,209,707,False,2,18.0,2,4322755000,300094000,402469000.0,,711871000,813649000,20668500,3752090,263,50,5,0.8942335403897212,Vấn đề khác,2,"Khách hàng đổi ý, không muốn mua nữa",Thanh toán qua cổng thanh toán trực tuyến,Điểm thanh toán tự động,True,0.3602407237723118,99,0.58,,13,0.3600852814840353,Tạm ổn,2288000,,Trên 1 tỷ,822000000.0,1800000000,Căn hộ/Chung cư,Không,,502212000,10
