,customer_id,credit_label,member_id,full_name,gender,date_of_birth,address,city,country,phone_number,email,occupation,education,marital_status,membership_level,join_date,expiry_date,membership_status,customer_points,total_redeemed_points,discount_rate,referral_code,age,membership_lifespan,num_day_since_last_active,num_active_last_7d,num_active_last_14d,num_active_last_30d,signup_in_latenight,most_active_hour,num_apply_lending,num_reject_lending_by_3pt,total_amount_spent,total_amount_spent_last_30d,total_amount_spent_last_60d,total_amount_spent_last_90d,total_amount_spent_last_180d,total_amount_spent_last_365d,total_tax_amount_spent,total_fee_amount_spent,num_completed_txn,num_canceled_txn,num_reject_txn,pct_reject2total_txn,top_rejected_reason,num_refunded_txn,top_refunded_reason,top_payment_method,top_payment_channel,is_ordering_shipping_address_same,prob_abuse_promotion,num_used_promotion,prob_abnormal_activity,num_select_promotion,num_interest_products,income_spending_ratio,income_stability,total_tax_amount,income_source,annually_income_segment,monthly_income,total_property_value,top_property_type,in_debt,monthly_bill_amount,total_annual_bill_amount,num_bill_overdue
10,90475,Good,90475,Bạch Oanh H*a,Nữ,2001-04-05,"749/17/17/19C, Lê Đức Thọ, Phường Linh Đông, Quận 4, Quảng Ninh, Việt Nam",Quảng Ninh,Việt Nam,436-944-0222x71712,marymendoza@example.com,Kỹ sư phần mềm,Đi làm,Độc thân,VIP,2022-11-05,,Active,640,297,0.1,PB270,21,222,307,35,67,435,False,22,2,16,9354925000,780434000,211570000,226453000,761500000,926084000,64593200,6573150,286,95,4,0.3702424955058844,Vấn đề khác,7,"Khách hàng đổi ý, không muốn mua nữa",Thẻ tín dụng,Cổng thanh toán của bên thứ ba,True,0.2967630174491802,55,0.6,217,6,0.27477952956849894,Ổn định,6946000,Kinh doanh truyền thống,Dưới 300 triệu,777000000,500000000,Căn hộ/Chung cư,Có,6800000,410472000,18
11,81185,Good,81185,Lý Trường T**m,Nữ,1994-02-01,"2918/34/167/229, Cách Mạng Tháng Tám, Phường Bình Trưng Đông, Hòa Bình, Hà Nội, Việt Nam",Hà Nội,Việt Nam,793.231.7227,donald94@example.com,Lập trình viên,Đi làm,Có gia đình,VIP,2017-01-22,,Active,904,208,0.07,FO664,28,472,5,79,454,173,False,3,11,12,7743564000,792231000,494862000,330140000,68313000,197336000,99902500,5481590,249,76,3,0.14233679319186365,Sản phẩm giao muộn so với hẹn giao,6,Sản phẩm bị hỏng trong quá trình vận chuyển,Thẻ tín dụng,Ứng dụng điện thoại di động,False,0.3021383940360628,93,0.13,464,2,0.687527923284879,Ổn định,9953000,Kinh doanh online,Trên 3 tỷ,403000000,600000000,Căn hộ/Chung cư,Có,28000000,397644000,19
12,39612,Good,39612,Vương Tuấn N****t,Nam,2012-08-30,"762/61/78/240, Lê Văn Phan, Phường An Phú, Đông Anh, Bến Tre, Việt Nam",Bến Tre,Việt Nam,001-555-292-2250x44543,lisa88@example.com,Xây dựng,Đi làm,Độc thân,VIP,2017-08-20,,Active,515,4,0.1,VG396,10,129,246,95,283,849,False,23,11,5,2744096000,981157000,144904000,909405000,857136000,73973000,14802900,8871910,160,7,1,0.29797495633897264,Sản phẩm không đáp ứng yêu cầu của khách hàng,2,Sản phẩm không đúng mô tả,Thẻ tín dụng,Giao diện thanh toán trực tuyến trên website,False,0.2594954220605029,57,0.28,336,26,0.7888925362557607,Tạm ổn,1375000,Đầu tư,Trên 1 tỷ,779000000,300000000,Bất động sản thương mại,Không,30300000,441312000,7
13,18216,Good,18216,La Thảo Đ*c,Nữ,1995-11-11,"2306/91/123/108P, Hai Bà Trưng, Phường Cát Lái, Hoàn Kiếm, Bình Dương, Việt Nam",Bình Dương,Việt Nam,363-902-2294x9892,jenniferedwards@example.org,Giáo viên,Đi làm,Ly hôn,VIP,2015-08-15,,Active,725,625,0.07,JO661,27,869,130,50,236,262,True,1,18,7,4694021000,144623000,986681000,305544000,733882000,242546000,23078900,5432200,9,76,26,0.7096250156347461,Sản phẩm không như hình ảnh minh họa,11,Sản phẩm không đúng mô tả,Tiền mặt khi nhận hàng (COD),Cổng thanh toán của bên thứ ba,True,0.07109811187603654,75,0.28,11,44,0.760967441489151,Rất ổn định,782000,Kinh doanh truyền thống,Trên 1 tỷ,787000000,900000000,Nhà ở chính,Không,37900000,455520000,11
14,11063,Good,11063,Lý Thành N**n,Nam,2012-03-29,"1463/21/24/104M, Nguyễn Đức Cảnh, Phường Linh Đông, Ba Đình, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,(441)823-5897,crosscarrie@example.net,Bác sĩ,Đại học,Đã kết hôn,VIP,2020-05-20,,Active,878,3,0.07,RG343,10,235,72,177,403,13,False,2,18,17,2088564000,945907000,541229000,237545000,119252000,648670000,67775600,6676610,253,20,9,0.14846388000873434,Sản phẩm không như hình ảnh minh họa,3,Sản phẩm bị hỏng trong quá trình vận chuyển,Thanh toán bằng QR Code,Ứng dụng điện thoại di động,False,0.6571350311449717,92,0.19,347,38,0.20699959597739725,Rất ổn định,9972000,Kinh doanh truyền thống,Trên 3 tỷ,414000000,1500000000,Nhà ở chính,Không,18000000,343284000,8
15,91572,Good,91572,Huỳnh Quang H***g,Nam,1993-09-26,"2154/40/35/26/72, Trần Huy Liệu, Phường 4, Ba Vì, Điện Biên, Việt Nam",Điện Biên,Việt Nam,(882)705-7154,kathleen98@example.org,Kiến trúc sư,Đi làm,Đã kết hôn,VIP,2015-04-21,,Active,874,749,0.1,FD948,29,244,273,160,175,217,True,22,12,13,4802177000,454555000,13542000,811594000,401780000,290553000,57325700,2956030,236,34,8,0.29466895747588795,Khách hàng không hài lòng với trải nghiệm mua hàng,5,Sản phẩm nhận không đủ số lượng,Thẻ tín dụng,Ứng dụng điện thoại di động,True,0.33641787452399574,46,0.38,808,23,0.9351022779801759,Rất ổn định,4318000,Cho thuê,Từ 300 triệu tới 1 tỷ,503000000,1000000000,Nhà ở chính,Có,6400000,225204000,2
16,99000,Good,99000,Vưu Tiến H*y,Nữ,1945-05-10,"2436/222, Huỳnh Thúc Kháng, Phường Bình Trưng Đông, Quận 12, Bến Tre, Việt Nam",Bến Tre,Việt Nam,292.705.4296x7153,beckcharles@example.net,Nhân viên,Sinh viên,Độc thân,VIP,2015-03-10,,Active,775,757,0.07,BZ872,77,623,194,28,87,103,False,3,8,18,604546000,82858000,149889000,526463000,432510000,122667000,23421300,288270,290,21,4,0.32086809055771914,Khách hàng không hài lòng với trải nghiệm mua hàng,1,Vấn đề khác,Thanh toán bằng QR Code,Cửa hàng trực tiếp,True,0.07954045841801871,46,0.39,269,37,0.6623705299565431,Rất ổn định,5487000,Cho thuê,Trên 1 tỷ,786000000,900000000,Đất đai,Không,6400000,20076000,7
17,32440,Good,32440,Phùng Quang P****g,Nữ,2000-04-11,"125/20/164/219, Trần Quang Khải, Phường 8, Đan Phượng, Đà Nẵng, Việt Nam",Đà Nẵng,Việt Nam,+1-464-432-6134,jose92@example.net,Diễn viên,Đại học,Có 2 bé,VIP,2022-04-06,,Active,671,353,0.1,TE558,22,771,17,282,308,314,True,3,18,15,4893918000,543620000,602280000,994761000,28698000,188671000,22833000,5360770,119,40,1,0.03710890878164308,Dịch vụ không chuyên nghiệp,5,Sản phẩm bị hỏng trong quá trình vận chuyển,Tiền mặt khi nhận hàng (COD),Cửa hàng trực tiếp,False,0.7985686630991846,51,0.27,528,19,0.547316647350387,Rất ổn định,4674000,Đầu tư,Từ 300 triệu tới 1 tỷ,862000000,1700000000,Đất đai,Có,27400000,22164000,1
18,33597,Good,33597,Kỷ Phương T***h,Nữ,1980-02-08,"1579/38/185/155/81H, Đồng Khởi, Phường 5, Quốc Oai, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,+1-557-835-2120x00858,salinasannette@example.com,Kỹ sư phần mềm,Trung học phổ thông,Đã kết hôn,VIP,2017-06-24,,Active,688,91,0.05,HM615,42,635,218,45,238,398,True,5,17,7,7826460000,401375000,902776000,461722000,156830000,960064000,73629100,1865440,106,91,8,0.7349437046738002,Vấn đề khác,12,Sản phẩm gửi sai,Thanh toán bằng QR Code,Điểm thanh toán tự động,False,0.06599182560719807,45,0.5,161,11,0.541603166792844,Rất ổn định,5906000,Kinh doanh online,Từ 300 triệu tới 1 tỷ,437000000,1700000000,Đất đai,Không,20900000,143328000,24
19,59233,Good,59233,Trần Nguyên Đ**h,Nam,2004-07-10,"556/6/119/277F, Đường Số 2, Phường An Hòa, Long Biên, Hà Nội, Việt Nam",Hà Nội,Việt Nam,(296)707-4870,mike80@example.org,Giáo viên,Thạc sĩ,Có gia đình,VIP,2013-05-12,,Active,942,6,0.1,WD383,18,298,361,77,51,754,True,4,14,15,9683278000,361892000,565700000,694688000,669707000,62953000,77812000,5168510,255,97,1,0.07414054260256508,Sản phẩm giao muộn so với hẹn giao,4,Sản phẩm đã hết hạn sử dụng,Chuyển khoản ngân hàng,Cổng thanh toán của bên thứ ba,False,0.8925165077251018,43,0.53,790,8,0.9869979268622511,Ổn định,3968000,Đầu tư,Trên 1 tỷ,999000000,1600000000,Căn hộ/Chung cư,Không,12900000,507924000,2
20,75655,Good,75655,Uông Thanh T***h,Nam,2000-01-11,"622/402, Nguyễn Văn Trỗi, Phường 2, Quận Thủ Đức, Tây Ninh, Việt Nam",Tây Ninh,Việt Nam,899-864-7257x1998,jamesscott@example.org,Lập trình viên,Đi làm,Độc thân,VIP,2021-08-03,,Active,690,528,0.07,PZ709,22,290,181,283,176,266,True,11,6,12,9134833000,424813000,197230000,405165000,499474000,310242000,94400000,4424920,248,24,3,0.5169480359427794,Sản phẩm giao muộn so với hẹn giao,10,Sản phẩm gửi sai,Chuyển khoản ngân hàng,Điểm thanh toán tự động,True,0.9866885443115255,47,0.19,497,11,0.19786719647221185,Rất ổn định,2874000,Cho thuê,Từ 300 triệu tới 1 tỷ,494000000,1800000000,Nhà ở chính,Không,18300000,29976000,5
21,53549,Good,53549,Tiêu Hoài H***g,Nữ,1996-04-13,"337/82/96U, Nguyễn Văn Trỗi, Phường An Hòa, Ba Đình, Cần Thơ, Việt Nam",Cần Thơ,Việt Nam,(433)620-5768x3689,edwardbaxter@example.com,Kiến trúc sư,Trung học phổ thông,Độc thân,VIP,2017-11-18,,Active,713,515,0.05,QK438,26,515,212,257,74,30,True,23,10,6,5027119000,594288000,813783000,646992000,495558000,660107000,95343600,430460,108,30,12,0.09262745917752357,Sản phẩm không hoạt động đúng cách,4,Sản phẩm đã hết hạn sử dụng,Thẻ tín dụng,Giao diện thanh toán trực tuyến trên website,False,0.8285244253462298,62,0.92,462,35,0.39125211513739655,Rất ổn định,7747000,Kinh doanh truyền thống,Trên 1 tỷ,984000000,1800000000,Nhà ở chính,Có,44200000,98316000,1
22,44974,Good,44974,Cao Vân Q***h,Nữ,1998-11-15,"1935/278, Trần Quang Diệu, Phường Bình Trưng Tây, Mỹ Đức, Thái Nguyên, Việt Nam",Thái Nguyên,Việt Nam,9912755254,hansonsheryl@example.net,Kỹ sư,Đại học,Tái hôn,VIP,2021-11-24,,Active,606,390,0.1,NC286,24,825,267,126,488,160,True,1,9,17,4110788000,396004000,84778000,635842000,462352000,479940000,17217200,5771010,284,83,20,0.5767521204856635,Khách hàng không hài lòng với trải nghiệm mua hàng,3,Sản phẩm đã hết hạn sử dụng,Thanh toán bằng QR Code,Cửa hàng trực tiếp,True,0.8385598129292737,35,0.32,180,45,0.29902864409158425,Ổn định,2806000,Kinh doanh truyền thống,Trên 1 tỷ,483000000,1700000000,Đất đai,Có,35800000,23484000,17
23,19483,Good,19483,Lục Thùy N**t,Nữ,1991-04-29,"775/99/177, Nguyễn Du, Phường 4, Quận 3, Bình Thuận, Việt Nam",Bình Thuận,Việt Nam,715.422.5891,bblevins@example.com,Lập trình viên,Sinh viên,Có gia đình,VIP,2017-05-05,,Active,774,725,0.05,WM713,31,435,41,279,321,636,True,21,19,1,9141275000,604857000,689865000,320140000,560411000,274028000,21363900,1719280,98,73,23,0.8522518223102351,Vấn đề khác,10,Sản phẩm nhận không đủ số lượng,Thẻ tín dụng,Điểm thanh toán tự động,True,0.677848583307631,49,0.9,570,28,0.3637227094343375,Ổn định,7632000,Kinh doanh online,Từ 300 triệu tới 1 tỷ,520000000,1600000000,Căn hộ/Chung cư,Không,15200000,236256000,17
24,53901,Good,53901,Thái Xuân Đ**g,Nữ,1991-07-31,"1354/11/166/105P, Đường Số 8, Phường Bình Trưng Tây, Hoàng Mai, Bình Dương, Việt Nam",Bình Dương,Việt Nam,554-252-2315,youngnicole@example.net,Bác sĩ,Tiến sĩ,Độc thân,VIP,2015-09-02,,Active,772,101,0.07,MB415,31,511,285,138,398,601,False,21,14,9,374366000,136691000,320866000,209967000,190397000,725247000,2165400,8287900,189,26,21,0.04834258063106278,Sản phẩm không hoạt động đúng cách,9,"Khách hàng đổi ý, không muốn mua nữa",Thanh toán bằng QR Code,Cửa hàng trực tiếp,True,0.5655183633200979,34,0.4,542,26,0.6947417543543541,Rất ổn định,4574000,Kinh doanh online,Trên 1 tỷ,909000000,1200000000,Căn hộ/Chung cư,Có,27900000,343716000,16
25,40486,Good,40486,Lục Trường H**h,Nam,2007-10-14,"2534/81/150/110/177, Trương Định, Phường Bình Trưng Đông, Tây Hồ, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,(814)845-1097,zgraham@example.org,Kỹ sư phần mềm,Tiến sĩ,Độc thân,VIP,2022-05-10,,Active,709,654,0.07,LC212,15,266,201,106,501,174,False,22,7,5,3085516000,400631000,930201000,255649000,685744000,6174000,53164700,9126800,132,31,49,0.541861386341741,Sản phẩm không đáp ứng yêu cầu của khách hàng,8,Sản phẩm gửi sai,Tiền mặt khi nhận hàng (COD),Ứng dụng điện thoại di động,True,0.3100149933878308,28,0.82,969,9,0.5861759266109693,Ổn định,6922000,Kinh doanh truyền thống,Từ 300 triệu tới 1 tỷ,925000000,1800000000,Đất đai,Có,45200000,368436000,21
26,1143,Good,1143,Phùng Trâm H*a,Nam,2009-06-21,"669/31/22/275/70, Đường Số 10, Phường Bình Trưng Tây, Sóc Sơn, Phú Thọ, Việt Nam",Phú Thọ,Việt Nam,001-934-341-7244x049,stephenssamuel@example.net,Kỹ sư phần mềm,Đi làm,Đã kết hôn,VIP,2014-01-27,,Active,617,344,0.07,YW836,13,688,231,44,83,728,False,22,16,2,5226946000,729005000,302564000,53442000,449689000,877460000,2193400,5321680,121,82,13,0.3234872885817335,Sản phẩm không hoạt động đúng cách,1,Sản phẩm đã hết hạn sử dụng,Thanh toán qua cổng thanh toán trực tuyến,Ứng dụng điện thoại di động,True,0.6703520909219047,72,0.33,620,31,0.3154175965410838,Rất ổn định,6523000,Kinh doanh online,Dưới 300 triệu,811000000,1500000000,Đất đai,Không,3900000,192756000,11
27,34087,Good,34087,La Diễm N**c,Nữ,1998-09-24,"853/47/5/49/151, Hòa Hảo, Phường Linh Trung, Long Biên, Hà Nội, Việt Nam",Hà Nội,Việt Nam,+1-577-298-1836,cesarcraig@example.org,Giám đốc,Đi làm,Độc thân,VIP,2022-06-02,,Active,691,328,0.1,ET446,24,389,312,184,396,627,True,2,11,3,9237049000,492322000,469119000,396616000,157832000,717242000,56631200,3519960,137,16,1,0.8631467284602381,Sản phẩm không như hình ảnh minh họa,8,Sản phẩm nhận không đủ số lượng,Tiền mặt khi nhận hàng (COD),Cửa hàng trực tiếp,True,0.5120491893809761,35,0.16,814,3,0.7696093535318298,Rất ổn định,5594000,Kinh doanh truyền thống,Trên 1 tỷ,954000000,1300000000,Căn hộ/Chung cư,Không,20900000,115416000,8
28,22119,Good,22119,Diệp Tiến H**n,Nữ,1980-06-27,"1561/539, Đường Lê Văn D, Phường 6, Quận 11, Cần Thơ, Việt Nam",Cần Thơ,Việt Nam,(432)402-3421,conleyjulie@example.net,Kỹ sư phần mềm,Đại học,Độc thân,VIP,2018-11-24,,Active,913,786,0.05,EN271,42,848,1,148,390,919,False,1,10,15,8445750000,52778000,603386000,949715000,255790000,834853000,79389500,5204540,183,78,1,0.8576493552606729,Sản phẩm không hoạt động đúng cách,11,Sản phẩm gửi sai,Thanh toán bằng QR Code,Cửa hàng trực tiếp,True,0.4596338301464462,78,0.37,220,43,0.5350105347870263,Rất ổn định,4785000,Kinh doanh truyền thống,Dưới 300 triệu,746000000,1800000000,Bất động sản thương mại,Không,900000,452364000,9
29,1116,Good,1116,Phùng Hậu Q***g,Nữ,1991-06-30,"2378/684, Đường Bạch Đằng, Phường Tam Bình, Hoàng Mai, Bình Dương, Việt Nam",Bình Dương,Việt Nam,5892740197,brianspencer@example.com,Kỹ sư phần mềm,Không có,Độc thân,VIP,2022-07-29,,Active,994,870,0.05,OU350,31,604,323,154,102,78,True,14,5,11,7763908000,256277000,951580000,177014000,99339000,187342000,32634400,3675390,99,52,16,0.6915261535782429,Sản phẩm không hoạt động đúng cách,4,Sản phẩm đã hết hạn sử dụng,Thẻ tín dụng,Giao diện thanh toán trực tuyến trên website,True,0.321393315311191,80,0.85,805,2,0.5679116424982945,Rất ổn định,5261000,Cho thuê,Trên 3 tỷ,632000000,1800000000,Đất đai,Có,9300000,419460000,15
30,79454,Good,79454,Từ Hoàng T***h,Nam,2012-05-29,"1750/87/24/183, Lê Thánh Tôn, Phường 4, Cầu Giấy, An Giang, Việt Nam",An Giang,Việt Nam,255.950.3274,samanthaharrison@example.com,Lập trình viên,Sinh viên,Có gia đình,VIP,2022-11-09,2025-10-31,Active,851,814,0.07,BL868,10,296,98,130,33,59,False,2,11,17,1046192000,382109000,159740000,257653000,22011000,418055000,66536300,326010,225,84,17,0.2159618346186024,Sản phẩm không hoạt động đúng cách,1,Khách hàng không nhận được hàng,Thẻ tín dụng,Giao diện thanh toán trực tuyến trên website,True,0.5902197817553887,90,0.79,746,46,0.4842727094809549,Rất ổn định,3728000,Đầu tư,Trên 3 tỷ,901000000,1100000000,Bất động sản thương mại,Có,34100000,312300000,3
31,1933,Good,1933,Uông Văn K***h,Nam,2001-06-24,"784/700, Đường Số 8, Phường An Khánh, Hà Đông, Hà Nội, Việt Nam",Hà Nội,Việt Nam,6126741963,carrbrooke@example.com,Giáo viên,Đại học,Độc thân,VIP,2015-04-19,,Active,889,487,0.07,HI321,21,627,326,270,542,562,False,19,1,14,2837912000,420015000,379714000,240355000,625233000,138709000,1742300,4838560,221,96,56,0.7968442072252749,Sản phẩm không như hình ảnh minh họa,2,Sản phẩm không đúng mô tả,Chuyển khoản ngân hàng,Điểm thanh toán tự động,True,0.3504514938832183,33,0.52,235,47,0.0682262189573708,Ổn định,471000,Đầu tư,Từ 300 triệu tới 1 tỷ,633000000,1200000000,Nhà ở chính,Có,46900000,543840000,17
